Unnamed: 0,Substraattemperatuur Arabella Vers (goot 6 bak 5) (8C6) - Temperature (°C) - averages,Substraattemperatuur Arabella vers (goot 4 bak 5) (8C3) - Temperature (°C) - averages,Substraattemperatuur - Arabella vers (Goot 5 bak 5) (A19) - Temperature (°C) - averages,Plant bladtemperatuur °C (afd. 03.4) - Temperature (°C) - averages,Planttemperatuur Arabella Vers Goot 4 (4DB) - Surface temperature (°C) - averages,Planttemperatuur Arabella Goot 6 (919) - Surface temperature (°C) - averages,"regen (1=nat, 0=droog) - Boolean 0/1 (number) - averages",Cyclische belichting 3.4 - % (%) - averages,watergift - pH  (afd 03.4) - pH (pH) - averages,buiten RV - % - Humidity (%) - averages,absoluut vochtgehalte buitenlucht - g/m³ - Absolute humidity (g/kg) - averages,belichting: aan  (afd 03.4) - Percentage (%) - averages,Outside PAR-sensor - PAR (μmol m−2 s−1) - averages,ventilatietemp: ber  - °C  (afd 03.4) - Temperature (°C) - averages,PAR-sensor (afd. 3.4) - PAR (μmol m−2 s−1) - averages,3.4 PAR Goot 3 (055) - PAR (μmol m−2 s−1) - averages,Netto stralingsmeter (Afd 3.4) - Radiation (W/m2) - averages,watergift - l/m²  (afd 03.4) - Irrigation per square meter (l/m2) - averages,Multilayer Tower 1 table 3 - Leaf Temp (B5D) - Surface temperature (°C) - averages,buitentemperatuur - °C - Temperature (°C) - averages,RV kas - %  (afd 03.4) - Humidity (%) - averages,CO2 kas - ppm  (afd 03.4) - CO2 (ppm) - averages,kastemperatuur - °C  (afd 03.4) - Temperature (°C) - averages,Planttemperatuur goot 5 (Arabella Vers) (C8F) - Surface temperature (°C) - averages
2021-05-07 16:00:00,1.427747883919182,1.6612377273775467,1.6960765534386422,1.9600421376089932,1.8032644194922183,1.4710533643966341,-0.335933806034463,-0.22016294648655657,0.6146441208385649,-1.6647366826232257,-1.5650353746939105,0.0,1.6989308670208794,2.0974335348359805,2.63496158327343,2.2929418260110173,1.5681761622153227,0.3828829687707158,-0.7335737788036869,-0.6708868187203292,-1.188723023970076,-0.27075943661124596,1.6097035268680542,1.4980477416433675
2021-05-07 17:00:00,1.4400537103834254,1.8011780147444474,1.8169878720224593,1.6138413536630516,1.712165236529292,1.9140543581834393,-0.335933806034463,-0.22016294648655657,0.6146441208385649,-1.543119397960202,-1.5306367144326092,0.0,1.1005331463568584,2.0974335348359805,1.2885880384861537,1.6779313934372548,1.3897366745736062,0.5291224198545327,-0.7921254243770661,-0.72979858825511,-1.198524696759897,0.050511230231446685,1.586299072639269,1.6754577941160178
2021-05-07 18:00:00,1.4646653633119135,1.8811438932398188,1.8975954177450045,1.505653608679945,1.848814010973681,1.7811540600473974,-0.335933806034463,-0.22016294648655657,0.6146441208385649,-1.5498759137748142,-1.5650353746939105,0.0,-0.050293020692820274,2.058657440879619,0.7417896834754883,0.7526369598978728,1.3086278165546439,0.6137873652188478,-0.7726082091859394,-0.7690731012782975,-1.2769380790784646,0.18397678915719443,1.539490164181698,1.6311052809978555
2021-05-07 19:00:00,1.4523595368476696,1.9011353628636618,1.9177473041756403,0.813252040788063,1.074470955788812,0.9616022215418079,-0.335933806034463,-0.22016294648655657,0.6146441208385649,-1.4755542398140777,-1.5650353746939105,0.0,0.07353172967548961,1.5933443134032865,0.12883648640976111,0.06439737814323457,0.7246440388181158,0.7061491237981006,-0.7335737788036869,-0.8279848708130783,-1.4239631709257792,0.22592310767671547,1.0479966253772002,0.8992888145481737
2021-05-07 20:00:00,1.3046896192767432,1.7611950754967611,1.756532212730551,-0.052249919076789844,0.04960514745589785,0.009150084900176405,-0.335933806034463,-0.22016294648655657,0.6146441208385649,-1.063406775122719,-1.461839393910006,0.0,-0.4935112258738093,0.817822434276066,-0.4906505222169597,-0.5441973309810872,0.09199494627021078,0.7061491237981006,-0.6945393484214344,-0.9850829229058278,-1.3161447702377491,-0.0038283187597504954,0.15862736468334743,-0.00993770437415744
2021-05-07 21:00:00,1.0954905693845975,1.4213400918914323,1.4341020298403708,-0.6364637419855653,-0.5425395418031187,-0.5446011573333301,-0.335933806034463,-0.22016294648655657,0.6146441208385649,-0.8134156899820592,-1.4274407336487047,0.0,-0.6587880385971758,0.37189735377791444,-0.6233685695496455,-0.661846170541211,-0.31354934382460026,0.7061491237981006,-0.7726082091859394,-1.1029064619753897,-0.9632845498041931,-0.0028749933388520807,-0.5201018079514345,-0.5643441183511893
2021-05-07 22:00:00,0.8739856930282077,1.0614936386622604,1.0512161876582826,-0.9393894279382639,-0.8613866821733588,-0.8768519026734342,-0.335933806034463,-0.22016294648655657,0.6146441208385649,-0.597207183914461,-1.4274407336487047,0.0,-0.6662281523532115,0.04230055514884583,-0.6315358340008876,-0.6661778054815976,-0.5406541462776945,0.7061491237981006,-0.8897115003326979,-1.2207300010449516,-0.47320091031314426,0.25547619572455926,-0.8477641671544329,-0.8526354536192454
2021-05-07 23:00:00,0.6647866431360621,0.681655715809246,0.6683303454761937,-1.2423151138909625,-1.2030086182843303,-1.186952598324198,-0.335933806034463,-0.22016294648655657,0.6146441208385649,-0.3539726145884128,-1.3930420733874032,0.0,-0.6683538991406504,-0.2485201495238619,-0.6315358340008876,-0.6661778054815976,-0.7677589487307888,0.7061491237981006,-0.7921254243770661,-1.3581907966261073,-0.48300258310296607,0.23545636188569743,-1.1988309805862167,-1.163103045446383
2021-05-08 00:00:00,0.46789341970815995,0.34180073220391716,0.3257482761553779,-1.2423151138909625,-1.2485582097657932,-1.209102648013538,-0.335933806034463,-0.22016294648655657,0.6146441208385649,-0.13100759270620257,-1.3930420733874032,0.0,-0.6683538991406504,-0.035251632763876294,-0.6315358340008876,-0.6661778054815976,-0.7677589487307888,0.7061491237981006,-0.7921254243770661,-1.4563770791840756,-0.2771674545167247,0.4566278595340793,-1.2456398890437883,-1.207455558564546
2021-05-08 01:00:00,0.30791767567298955,0.06192015747011641,0.023469979695834295,-1.2206775648943413,-1.2257834140250614,-1.1648025486348577,-0.335933806034463,-0.22016294648655657,0.6146441208385649,0.24735729291209343,-1.3242447528648003,0.0,-0.6688853358375101,-0.035251632763876294,-0.6315358340008876,-0.6661778054815976,-0.7515371771269964,0.7061491237981006,-0.811642639568192,-1.5742006182536377,0.10509778428629254,1.0200431832849146,-1.1754265263574313,-1.163103045446383
